questno,col5,nielsen,stratum,sex,age,date,intdur,sespre,sesfinal,resint,refusal,agesub,agegroup,intviewe,super,q01_p1,q01_p2,q01_p3,q01_p4,q01_p0,q01_px,q02,q03,q04_1,q04_2,q05,q05a_p1,q05a_p2,q05a_p3,q05a_p4,q05a_p5,q05a_p6,q05a_p7,q05a_p9,q05a_p0,q05a_py,q06,q07,q07a,q08,q08a1_p1,q08a1_p2,q08a1_p3,q08a1_p4,q08a1_p5,q08a1_p6,q08a1_p7,q08a1_p8,q08a1_p9,q08a1_p0,q08a1_px,q08a1_py,q08a2_p1,q08a2_p2,q08a2_p3,q08a2_p4,q08a2_p5,q08a2_p6,q08a2_p7,q08a2_p8,q08a2_p9,q08a2_p0,q08a2_py,q08b,q08c,q09_p1,q09_p2,q09a,q10,q10a_1,q10a_2,q10b,q10c,q10d1_p1,q10d1_p2,q10d1_p3,q10d1_p4,q10d1_p5,q10d1_p6,q10d1_p7,q10d1_p8,q10d1_p9,q10d1_p0,q10d_2,q10e_1,q10e_2,q10e_3,q11,q11a1_p1,q11a1_p2,q11a1_p3,q11a1_p4,q11a1_p5,q11a1_p6,q11a1_p7,q11a1_p8,q11a1_p9,q11a1_p0,q11a1_px,q11a1_py,q11a2_p1,q11a2_p2,q11a2_p3,q11a2_p4,q11a2_p5,q11a2_p6,q11a2_p7,q11a2_p8,q11a2_p9,q11a2_p0,q11a2_py,q11b1_p1,q11b1_p2,q11b1_p3,q11b1_p4,q11b1_p5,q11b1_p7,q11b1_p9,q11b1_p0,q11b1_px,q11b_2,q11c,q12,q13b,q13_1,q13_2,q13a1,q13b1,q14,q15a,q15b,q15c,q15d,q15e,q15f,q15g,q15h,q16a,q16b,q16c,q16d,q16e,q16f,q16g,q16h,q17_1,q17_2,q17a,q17b,q18,q198,q20,q21,q22a,q22b,q22c,q22d,q22e,q23,q23a,q24,q25,q26,q27,q28,q28a,q29,q29a1_p1,q29a1_p2,q29a1_p3,q29a1_p4,q29a1_p5,q29a1_p6,q29a1_p7,q29a1_p8,q29a1_p9,q29a1_p0,q29a1_px,q29a1_py,q29a2_p1,q29a2_p2,q29a2_p3,q29a2_p4,q29a2_p5,q29a2_p6,q29a2_p7,q29a2_p8,q29a2_p0,q29a2_py,q29b1_p1,q29b1_p2,q29b1_p3,q29b1_p4,q29b1_p5,q29b1_p7,q29b1_p8,q29b1_p9,q29b1_p0,q29b1_px,q29b1_py,q29b2_p1,q29b2_p2,q29b2_p3,q29b2_p4,q29b2_p6,q29b2_p7,q29b2_p8,q29b2_p0,q29b2_px,q30,q30a1_p1,q30a1_p2,q30a1_p3,q30a1_p4,q30a1_p5,q30a1_p6,q30a1_p7,q30a1_p8,q30a1_p9,q30a1_p0,q30a1_px,q30a1_py,q30a2_p1,q30a2_p2,q30a2_p3,q30a2_p4,q30a2_p5,q30a2_p6,q30a2_p7,q30a2_p8,q30a2_p9,q30a2_p0,q30a2_px,q30c1_p1,q30c1_p2,q30c1_p3,q30c1_p4,q30c1_p5,q30c1_p6,q30c1_p7,q30c1_p8,q30c1_p9,q30c1_p0,q30c1_px,q30c2,q31,q31a,q31b,q32_1,q32_2,q33,q33b,q33c,q33d,q34,q35,q36,q36a,q36b_1,q36b_2,q37,q37a1_p1,q37a1_p2,q37a1_p3,q37a1_p4,q37a1_p5,q37a1_p6,q37a1_p7,q37a1_p8,q37a1_p9,q37a1_p0,q37a1_px,q37a1_py,q37a_2,q37b1_p1,q37b1_p2,q37b1_p3,q37b1_p4,q37b1_p5,q37b1_p6,q37b1_p7,q37b1_p8,q37b1_p9,q37b1_p0,q37b1_px,q37b_p1,q37b_p2,q37b_p3,q37b_p4,q37b_p5,q37b_p6,q38,q39,q40,q41,q41a1_p1,q41a1_p2,q41a1_p3,q41a1_p4,q41a1_p5,q41a1_p6,q41a1_p7,q41a1_p8,q41a1_p9,q41a1_p0,q41a1_px,q41a2,q41a3_p1,q41a3_p2,q41a3_p3,q41a3_p4,q41a3_p5,q41a3_p6,q41a3_p7,q41a3_p8,q41a3_p9,q41a3_p0,q41a3_px,q41a_4,q43_1,q43_2,q44,q45,q46,q47,q48,q49a,q49b,q49c,q49d,q50,q51_1,q51_2,q53,q53a_1,q53a_2,q54_p1,q54_p2,q54_p3,q54_p4,q54_p5,q54_p0,q54_py,q54a_p1,q54a_p2,q54a_p3,q54a_p4,q54a_p5,q54a_p6,q54a_p7,q54a_p8,q54a_p9,q54a_p0,q55_p1,q55_p2,q55_p3,q55_p4,q55_p5,q55_p0,q56_p1,q56_p2,q56_p3,q56_p4,q56_p5,q56_p0,q56_py,q57,q58_1,q58_2,q58a_p1,q58a_p2,q58a_p3,q58a_p4,q58a_p5,q58a_p6,q58a_p7,q58a_p9,q59_1,q59_2,q59a_1,q59a_2,q60_1,q60_2,q60a_1,q60a_2,q60b_1,q60b_2,q61,q61a1_p1,q61a1_p2,q61a1_p3,q61a1_p4,q61a1_p5,q61a1_p6,q61a1_p7,q61a1_p8,q61a1_p9,q61a1_p0,q61a1_px,q61a1_py,q61a2_p1,q61a2_p2,q61a2_p3,q61a2_p4,q61a2_p5,q61a2_p6,q61a2_p7,q61a2_p8,q61a2_px,q61a2_py,q61a3_p1,q61a3_p2,q61a3_p3,q61a3_p4,q61a3_p5,q61a3_p6,q61a3_p7,q61a3_p8,q61a3_py,q61b_1,q61c1_p1,q61c1_p2,q61c1_p3,q61c1_p4,q61c1_p5,q61c1_p0,q61b_2,q61c_2,q61b_3,q61c_3,q62_p1,q62_p2,q62_p3,q62_p4,q62_p5,q62_p6,q62_p7,q62_p8,q62_p9,q62_p0,q62_px,q62_py,q62a,q63,q63a,q64,q65,q66,q67,econ,resid
1,1,5,1,1, ,27,5,5,5,2,2,27,2,12,X,0,1,0,0,0,0,3,2,2,7,1,0,0,0,0,0,0,0,0,0,0,1,2, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1, ,1,1, ,3,2,0,0,0,0,0,0,0,0,0,0, , , , ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,1,1, ,1, ,0,1,2,1,1,4,2,2,1,1,1,2,2,2,2,2,2,2,2,3,9,4, ,2,2,2,2,2,2,2,2,2,2,1,1,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,1,3,1,2,2,2,3,1,3,2, ,2,1,1,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0, ,0,0,1,0,0,0,0,0,0,0,0, ,2,2,2,2,2,2,2,1,4,3,2,1,3,2,6, , ,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,0,0,0,0,0,0,1,0,4,3,6,5,5, , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , , , ,1,1,1,1,1,1,1,1,1,0,0,0,2,3, ,2,3,2,1,4,1
2,1,5,1,1, ,28,4,3,3,1,4,29,2,12,X,0,0,1,0,0,0,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1,2, ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,3, ,3,1,1,0,0,0,0,1,0,0,0,0, ,4,5, ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2, ,2, ,2,3,2,2,1,1,3,3,3,2,2,2,3,1,2,2,3,2,1,3,2,1,1,1,2,1,1,1,1,2,1,2,1, ,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,2,3,4,3,1,2,2,1,1,1,1,1,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,2,1,1,1,2,1,1,1,4,1,4,1,3,4,7, , ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,7,0,0,0,0,0,0,1,0,2,3,6,5,Y, , , ,X, ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0, , , , ,1,1,1,1,0,0,1,0,1,0,0,0,4,8, ,3,1,1,1,1,1
3,1,5,1,1,34,28,1,5,4,3, , ,2,08,X,0,1,0,0,0,0,4,2,6,5,2,0,0,1,0,0,0,0,0,0,0,2,2, ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1, ,1,9, ,1,2,0,0,0,0,0,0,0,0,0,0, , , , ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, ,1,2, ,2, ,0,9,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,2,2,9, , , ,1,2,1,1,9,1,1,2,2,1, ,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,2,2,4,1,1,1,1,1,1,1,3,9, , ,3,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,2,2,4, , , , , , , , , , , ,5, , ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2, , ,0,0,0,0,0,0,0,0, , , , ,6, , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , , , ,0,1,0,1,0,0,0,0,0,0,0,0,4,6, ,3,1,1,2,4,1
4,1,5,1,1, ,28,2,5,4,1,3,34,2,08,X,0,1,0,0,0,0,2,3,8,7,3,0,0,0,0,0,0,0,0,0,0,4, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,2,1,6, ,2,2,0,0,0,0,0,0,0,0,0,0, , , , ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,1,1, ,2, ,0,0,3,2,1,1,1,1,2,9,9,2,2,1,3,2,3,3,3,3, ,4, ,1,1,2,2,2,2,2,2,3,1, ,1,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,4,3,1,1,2,1,1,1,1,2,2, ,9,2,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1,0,0,0,0,0,0,0, ,2,1,3,3,3,3,3,2,4,4,2,3,5,2,3, , ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2, , ,0,0,0,0,0,0,0,0, , , , ,9, , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , , , ,1,1,0,1,1,0,0,0,0,0,0,0,4,5,1,1,2,1,1,4,1
5,1,5,1,1,31,27,6,5,4,3, , ,2,10,X,1,1,0,0,0,0,2,2,5,3,2,0,0,1,0,0,0,0,0,0,1,1,2, ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,2,2, , , , ,0,0,0,0,0,0,0,0,0,0, , , , ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2, ,4, ,0,-,3,9,2,2,2,3,3,9,9,9,3,3,3,4,3,3,3,3,4,1,4,2,4,2,2,1,2,2,3,2,2,1,1,1,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,1,3,1,2,2,2,1,1,2,1,2, ,2,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,1,0,0,0,0,0,0, ,2,2,1,2,2,4,1,1,4,2,2,1,3,4,3, , ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,0,0,0,0,1,0,0,0,3,5,4,2,9, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,0,0,0,0,0,0, , , , ,1,1,1,1,1,1,1,1,1,0,0,0,4,9, ,2,1,1,1,3,1
6,1,5,1,1, ,27,1,4,4,2,2,32,2,09,X,1,0,0,0,0,0,2,2,3,1,2,0,0,1,0,0,0,0,0,0,0,3,2, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1, ,1,5, ,2,2,0,0,0,0,0,0,0,0,0,0, , , , ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, ,1,9, ,X, ,-,-,2,2,4,4,4,4,2,2,2,3,3,1,4,2,2,2,2,3,7,4,4,1,2,3,2,2,1,2,2,4,1, ,2,1,2,1,4, ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,2,4,2,2,2,2,1,1,1,2,1,2, ,1,1,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,9,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,2,2,1,2,2,4,4,4,4,1,4,1,4,3,4, , ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9,0,0,0,0,0,1,0,0,8,7,4,2,9, , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , , , ,1,1,0,1,1,0,0,0,1,0,0,0,2,5,1,6,9,1,1,3,2
7,1,5,1,1,27,27,4,4,4,3, , ,2,13,X,0,1,0,0,0,0,2,4,8,3,3,0,0,0,0,0,0,0,0,0,0,2,2, ,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1, ,1,9, ,1,1,0,0,0,0,1,0,0,0,0,0, ,3, , ,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0, ,1,1, ,2, ,7,9,3,2,1,1,1,2,3,2,2,9,2,1,9,2,4,2,2,3,2,1,1,2,2,2,2,2,1,2,1,1,2,1,1,2,3,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,4,4,1,2,2,2,2,1,1,2,1,2, ,1,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,2,1,2,2,2,3,2,4,4,1,4,1,3,5,3, , ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,1,0,0,0,0,1,0,0,2,4,6,5,9, , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , , , ,1,1,1,1,1,1,1,1,1,0,0,0,4,5,2,3,2,1,1,4,1
8,1,5,1,1, ,26,6,4,4,1,4,29,2,13,X,0,0,1,0,0,0,2,2,8,4,3,0,0,0,0,0,0,0,0,0,0,1,2, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1, ,1,1, ,1,2,0,0,0,0,0,0,0,0,0,0, , , , ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,2,2, ,2, ,0,1,2,2,2,3,1,2,2,2,2,3,3,4,4,4,3,4,4,3, ,4,4,1,3,3,3,3,4,4,3,2,2,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,3,1,2,2,2,2,2,1,2,1,1, ,3,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,1,2,3,3,3,1,4,3,1,3,1,3,2,5, , ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2, , ,0,0,0,0,0,0,0,0, , , , ,3, , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , , , ,1,1,1,1,0,0,1,0,0,0,0,0,4,5,2,3,1,1,2,4,1
9,1,5,1,1, ,29,2,5,5,2,7,31,2,05,X,0,0,1,0,0,0,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,2,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0, ,1,2, ,2,1,0,0,0,0,1,0,0,0,0,0, ,2, , ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, ,2,1, ,2, ,2,2,3,4,1,1,3,4,4,3,2,3,2,1,3,3,4,3,3,3,4,1,4,2,2,1,1,3,2,2,3,3,1, ,2,1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2, , ,3,2,1,2,1,2,3,3,2,2, ,2,3,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,1,0,0,0,0,0,0, ,2,1,3,1,2,2,1,1,4,2,2,2,3,4,7, , ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,1,1,0,0,0,0,2,9,9,5, , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , , , ,1,1,1,1,1,1,1,1,1,0,0,0,4,0, ,Y,1,1,1,4,1
10,1,5,1,1,30,29,2,4,4,3, , ,2,05,X,0,0,1,0,0,0,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,2,2, ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1, ,1,2, ,1,2,0,0,0,0,0,0,0,0,0,0, , , , ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,1, ,3, ,-,2,3,2,1,1,1,2,3,2,2,2,2,2,4,4,3,2,3,3, ,4, ,3,3,2,3,2,2,3,2,3,1, ,2,2,3,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,2,3,3,1,1,1,1,2,2,2,2,1,2, ,2,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,2,2,2,2,2,2,2,2,4,2,2,2,4,3,7, , ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,1,1,0,0,0,0,0,2,3,6,0,5, , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , , , ,1,1,1,1,1,1,1,1,1,0,0,0,Y,0, ,Y,2,1,2,4,1
