studyid,fechaa1,r_a1,fechaa2,r_a2,fechaa3,r_a3,fechab1,r_b1,fechab2,r_b2,fechab3,r_b3,fechac1,r_c1,fechac2,r_c2,fechac3,r_c3,fechad1,r_d1,fechad2,r_d2,fechad3,r_d3,fechae1,r_e1,fechae2,r_e2,fechae3,r_e3,fechaf1,r_f1,fechaf2,r_f2,fechaf3,r_f3,fechag1,r_g1,fechag2,r_g2,fechag3,r_g3,fechah1,r_h1,fechah2,r_h2,fechah3,r_h3,fechai1,r_i1,fechai2,r_i2,fechai3,r_i3,fechaj1,r_j1,fechaj2,r_j2,fechaj3,r_j3,fechak1,r_k1,fechak2,r_k2,fechak3,r_k3,ms_a,h_ini,m_ini,p1,p2,p3_1,p3_2,p4a,p4b,p5a,p5b,p6,p7,p8a,p8b,p9a,p9b,p9c,p10a,p10b,p11,p12_1,p12_2,p12_3,p13_a,p13_b,p14,p15,p16,p17,p18,p19,p20,p21_a,p21_b,p22,p23,p24,p25,p26,p27_a,p27_b,p28,p29,p30_a,p30_b,p31_a,p31_b,p32,p33_1,p33_2,p33_3,p34_1,p34_2,p34_3,p35_a,p35_b,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,h_ter,m_ter,min,weight,rp1,d1lc394,rp67,rp3_1,encue,sup,edo,muni,ageb,nreg,nciudad,cd,loca,date1,cases,total,muni_r
1,11200,5, ,0, ,0,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,9,42,4,3,2,8,3,8,8,2,26,1,3,3,2,2,1,2,2,3,2,2,2,7,7,2,2,2,7,7,2,2,3,3,2,1,2,2,1,4,4,3,12,84,9,11,9,3,1,1,1,1,1,1,29,9,1,1,2,7,1,1,4,3,2,2,1,1,1,2,2,7,7,7,2,7,2,7,7,2,1,1,5,5,7,2,1,4,10,13,31,1.1,4,3,3,1,1069,11,5,35,017-4,1,4,6,18,11200,1,1,535
2,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,10,20,3,3,2,2,2,2,1,2,46,1,1,1,1,1,1,4,4,1,1,1,1,7,7,1,1,2,7,7,1,1,1,1,1,1,1,1,1,4,4,3,11,46,9,69,9,1,1,1,1,1,1,1,42,9,1,1,1,1,2,2,1,3,1,1,1,1,1,2,2,7,7,7,2,7,2,7,7,1,1,1,3,5,7,2,1,4,10,49,29,.71,3,3,3,1,1069,11,5,35,017-4,1,4,6,18,11200,1,1,535
3,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,10,55,3,4,1,1,2,1,2,3,53,2,2,4,2,1,2,2,2,3,5,2,3,11,9,3,1,1,2,7,1,2,3,1,1,1,2,3,1,3,3,3,12,72,9,20,33,2,1,1,2,1,1,1,35,9,2,3,2,7,1,4,3,2,1,4,1,1,1,1,2,7,7,7,2,7,2,7,7,9,2,1,1,5,7,1,4,3,11,15,20,.78,3,4,2,1,1069,11,5,35,017-4,1,4,6,18,11200,1,1,535
4,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,11,38,5,2,1,1,1,2,2,2,8,2,1,1,2,2,2,4,4,2,3,1,1,7,7,1,1,2,7,7,2,1,2,2,2,2,1,2,4,4,4,3,12,9,9,61,81,2,1,1,2,2,2,1,9,9,1,2,2,7,4,1,2,2,2,2,1,1,1,1,1,4,2,3,2,7,2,7,7,1,2,2,7,7,1,1,1,3,11,58,20,.8,4,2,2,1,1069,11,5,35,017-4,1,4,6,18,11200,1,1,535
5,11200,5, ,0, ,0,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,12,10,3,2,1,2,2,1,2,2,38,2,2,1,2,2,1,4,4,3,4,2,3,11,9,3,3,2,7,7,1,1,1,2,3,1,1,3,4,4,4,3,12,78,9,33,9,3,1,1,1,1,2,2,22,9,2,1,1,2,4,3,1,4,2,3,1,1,3,1,2,7,7,7,2,7,2,7,7,5,2,2,7,7,1,2,1,4,12,38,28,.78,3,2,3,1,1069,11,5,35,017-4,1,4,6,18,11200,1,1,535
6,11200,5, ,0, ,0,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,9,45,5,2,2,2,1,1,2,2,11,2,1,1,1,1,1,4,2,3,2,2,3,11,9,1,1,2,7,7,1,2,4,3,3,4,3,3,1,2,2,3,13,8,9,8,9,2,1,1,2,2,2,1,8,9,1,1,2,7,1,2,3,3,2,3,1,1,7,2,2,7,7,7,2,7,2,7,7,5,2,2,7,7,1,2,1,4,10,15,30,.8,4,2,3,1,1071,11,5,35,017-4,1,4,6,18,11200,1,1,535
7,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,10,20,1,3,2,2,1,8,2,2,39,2,4,1,1,1,1,4,5,2,5,3,3,26,9,3,4,2,7,7,1,1,1,2,3,1,1,3,1,4,4,1,7,40,31,75,9,3,1,1,2,1,2,1,42,9,2,2,1,1,2,1,3,2,2,3,1,2,7,1,2,7,7,7,2,7,2,7,7,5,2,2,7,7,1,1,1,4,10,45,25,1.59,1,3,3,1,1071,11,5,35,017-4,1,4,6,18,11200,1,1,535
8,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,11,0,4,2,3,8,2,8,3,3,32,1,3,3,1,1,1,4,4,4,5,5,5,7,7,2,4,2,7,7,1,2,2,1,3,4,1,3,1,4,4,3,13,38,9,39,68,2,1,2,2,2,2,2,42,35,2,1,2,7,2,1,4,4,2,2,1,1,1,1,2,7,7,7,2,7,2,7,7,2,2,2,7,7,1,1,1,4,11,20,20,.8,4,2,3,2,1071,11,5,35,017-4,1,4,6,18,11200,1,1,535
9,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,11,30,3,2,3,8,3,8,2,1,20,1,2,2,1,1,1,2,4,1,1,1,1,7,7,2,4,2,7,7,1,2,1,1,1,1,1,1,2,4,4,3,13,8,9,12,9,3,1,2,2,8,2,2,8,9,6,1,1,2,2,1,1,4,2,1,1,1,1,2,2,7,7,7,2,7,2,7,7,2,2,2,7,7,1,2,1,4,11,50,20,.78,3,2,3,2,1071,11,5,35,017-4,1,4,6,18,11200,1,1,535
10,11200,5, ,0, ,0,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,12,0,5,1,2,8,2,8,8,1,11,3,3,2,2,2,2,4,4,1,1,1,1,7,7,2,1,2,7,7,1,2,4,1,1,1,1,2,1,4,4,3,13,25,31,39,53,1,1,2,2,1,2,1,8,9,9,4,1,2,2,1,4,4,1,1,1,1,1,1,2,7,7,7,2,7,2,7,7,1,2,1,4,6,7,2,1,4,12,25,25,.8,4,2,3,1,1071,11,5,35,017-4,1,4,6,18,11200,1,1,535
