pais,idnum,uniq_id,estratop,estratos,prov,cluster,ur,tamano,idiomaq,fecha,wt,q1,q2y,q2,ls3,a4,soct2,idio2,np1,np2,sgl1,cp4a,cp5,cp6,cp7,cp8,cp13,cp20,cpss1,it1,l1,prot3,jc10,jc13,jc15a,vic1ext,vic1exta,vic2,vic2aa,vic1hoga,mexvic10,mexvic_1,mexvic_2,mexvic_3,mexvic_4,pole2n,aoj11,pese1,pese2,aoj17,aoj12,aoj22,b1,b2,b3,b4,b6,b10a,b12,b13,b18,b20,b20a,b21,b21a,b32,b47a,n9,n11,n15,b3milx,mil3,mil4,pr3a,pr3b,pr3c,pr3d,pr3e,pr4,m1,sd2new2,sd3new2,sd6new2,infrax,coer1,ros1,ros4,ing4,eff1,eff2,mil7,env1,dst1,pn4,w14a,e5,e15,e3,e16,d1,d2,d3,d4,d5,d6,per4,per9,dem2,dem11,exc2,exc6,exc20,exc11,exc13,exc14,exc15,exc16,exc18,exc7,diso7,diso8,diso10,diso18,diso14,diso16,diso17,vicbar1,vicbar1f,vicbar3,vicbar4,vicbar7,fear10,vic44,vic43,vicziz14,fear6e,fear6f,vb1,inf1,vb2,vb3n,vb4new,vb101,vb10,vb11,pol1,vb20,clien1n,clien1na,for1n,for4,for5,for6,for7,for6b,for7b,mil10a,mil10c,mil10e,vol207n,vol208n,dvw1,dvw2,wf1,cct1b,mex121,mex122a,mex122b,mex122c,mex122d,mex122e,mex123a,mex123b,mex124,mex125,ed,ed2,q3c,q5b,ocup4a,ocup1a,q10new,q10g,q10a,q14,q10d,q10e,q11n,q12c,q12bn,q12,etid,leng1,leng4,mexetid1,www1,gi0,gi1,gix4,gi4,gi7,r3,r4,r4a,r5,r6,r7,r8,r12,r14,r15,r18,r1,r16,r26,colorr,sexi,colori,national,formatq,sex,gi7r
1,f230cbc9-af6e-4bba-aa77-befd3c3b79f5-122606e0decc11d4344599,14011451,104,3,120,911,2,4,1,2/17/2014,1,2,1970,44,2,4,3,3,1,1,4,1,3,2,2,3,4,4,4,2, ,2,2,1,2,2, , , ,2,4,4,4,4,2, ,2,2,2,4,3,3,2,4, ,6, ,3,4, ,3,1,5,2,2,3, , ,5,2, , ,5,2,4,3,1,2, ,3, ,2,2,6,4, ,5,4,3,1,6,1,1,2,1,7,3,1,8,10,7, ,5,7,4,3,5,1,2,0,0,0, ,0, ,0,0,0,2,5,5,5,5,5,5,5,2, ,2,2,2,0,0,0,3, ,4,1,1,1,101, , ,2, ,3,2,2,2, ,12,4,4, ,3,3, , ,3,4,4,3,3,1,1,3, , , , , ,4,3,3,2,4,0,4,4,5, ,2, ,2,2,3, ,2,10,3,8, ,101,2,1,5,3, , ,2, ,0,0,0,0,0,0,0,0,0,0,0,0, ,0,7,1,6,1,2,2, 
1,9c018a64-5827-4e82-b56a-c2247f2612fe-412629d9afffe48443408131,14010987,104,2,104,72,2,4,1,2/1/2014,1,1,1947,67,1, ,2,2,2,2,2,2,4,2,4,2,4, ,4,3, ,2,2,2,2,2, , , ,2,4,4,4,4,2,3,1,2, ,4,2, ,3,7,3,4,4,1, , ,5,1,7,1,6,7,3,5,4,1, , ,7,1,7,7,1,1, ,2,3,2,1,4,4,6,7, ,2,1,7, ,1, ,2,1,1, ,1,1,5, , , , ,1,7,2,2,0,0,0, ,0, , , ,0,3,4,4,4,4,4,4,4,2, ,2,2,2,0,0,0,3,4, ,1,1,1,101, , ,1,102,4, ,2,2, , , , , , , ,4,4,4,5,4,3,3,2,2, , , , , , ,3, ,4,2,0,0,5,1,1,4,3,3,2,2,4,2,2,2,0,5,3,104,3,1,5,5,2, ,2, ,0,0,0,0,0,0,0,0,0,0,0,0, ,0,4,2,3,1,2,1, 
1,17da06ef-7b84-4803-9c29-3cabade1f3c6-412629d9afffe48443408127,14010187,104,2,104,71,2,4,1,2/1/2014,1,1,1990,24,1,1,3,3,2,2,5,2,4,4,3,3,4, ,3,1,6,2,2,2,2,2, , , ,1,4,1,2,2,2,3,2,1,1,2,4,2,3,4,3,1,5,3,5,4,2,6,5,4,1,4,3,4,4,3,4, ,5,4,5,7,4,6,4,3,4,3,4,4,4,4,7,6,6,6,7,2,2,3,2,6,2,3,5,9,9,7,6,6,5,4,7,2,2,0,0,0, ,0, , , ,0,1,1,2,2,2,2,4,2,1,3,1,2,2,0,0,0,2,2,2,1,1,1,101, , ,1,102,2,1,2,2,4,4,4,3,4,2,2,2,4,4,5,1,3,3,2,1, , , , , , ,5,1,4,2,9,1,1,2,1,4, , ,2,1,3,3,1,8,3,0,4,104,2,1,2,2,1, ,1, ,0,0,0,0,0,0,0,0,0,0,0,0, ,0,5,2,3,1,2,1, 
1,c45f1c8d-c0eb-494b-ad7e-eeaefdf0175a-e4eaeac04412b6904340776,14011167,103,2,121,941,2,3,1,2/9/2014,1,1,1955,59,2,1,3,3,2,2,4,2,4,4,4,4,4, ,4,3,4,2,2,2,2,2, , , ,2,4,2,4,3,2,4,2,3,2,3,3,2,3,7,6,7,7,3,7,7,2,7,4,6,5,7,6,7,7,7,7,5,6,2,5,3,4,2,6,1,1,2,2,4,4,6,3,5,6,6,7,1,1,2,2,7,1,2,4,6,9,7,6,2,1,6,7,1,2,0,0,0, ,0, ,0, ,0,2,5,5,4,5,4,4,5,2, ,2,2,2,0,0,0,1,2,2,1,1,1,101, , ,2, ,2,2,2,2, , ,13,3,4,1,4,3,4,4,5,5,3, ,2,2, , , , , ,4,4,5,1,2,6,0,1,2,1,4,6,6,2,2,3,2,3,3,0,8, ,101,1, ,5,1,1, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,5,1,5,1,2,1,0
1,9c018a64-5827-4e82-b56a-c2247f2612fe-412629d9afffe48443408129,14010985,104,2,104,72,2,4,1,2/1/2014,1,2,1980,34,1,2,3,3,2,2, ,2,4,1,3,4,4,4,4,2,8,2, ,2, ,2, , , ,2, ,2,4, ,2,2,1,3,2,4,3,2,7,7,6,5,7,5,5,7,7,6,7,4,6,7,7,7,6,5,7,6,5,5,4,5,4,4,6,2,2,3,2,2,4,5,4,6,2,3,7,1,2,3,1,10,1, ,6,8,4, ,3,1,1,1,7,3,2,0,0,0,1,0, , , ,0,3,5,4,4,4,4,4,4,2, ,1,2,2,0,0,0,1,1,1,1,1,1,101, , , , ,3,3,2,2,4,7,6,3,2,1,2, , ,1,3,2,3,3,1,1,2,5,7,6,5,6,4,3,5,2,3,0,5,1,1,4,7,7,2,2,4,2,2,6,3,4,3,104,3,1,5,5, ,1,1, ,0,0,0,0,0,0,0,0,0,0,0,0, ,0,4,2,3,1,2,2, 
1,17da06ef-7b84-4803-9c29-3cabade1f3c6-412629d9afffe48443408125,14010185,104,2,104,71,2,4,1,2/1/2014,1,1,1977,37,1,1,2,2,2,2, ,2,3,4,3,4,4, ,1,3, ,2,2,2, ,2, , , ,2, ,4,4,4,2,3,2,2,2,3,3,1,2,7, ,5,4,5,7, ,4, , ,1, ,4,1, , ,1, , ,4, , ,5,1,1, , ,4, ,3,5,4,2, , , , ,7,1,1, , ,7,7, ,1,6, , , ,5,1,2,7,2,2,0,0,0, ,0, , ,0,0,2,2,3,5,4,3,4,4,1,3,2,2,2,0,0,0,1,2,4,1,1,1, , , ,2, ,3, ,2,2, , , , , , , , , , ,4,3,3,3,2,1, , , , , , ,5,3, ,2,3,0,4, ,1,4, , ,2,2,4,2,2,5,3,3,3,104,3,1,5,5, , ,1, ,0,0,0,0,0,0,0,0,0,0,0,0, ,0,5,1,3,1,2,1, 
1,f230cbc9-af6e-4bba-aa77-befd3c3b79f5-122606e0decc11d43445100,14011446,104,3,120,911,2,4,1,2/17/2014,1,1,1975,39,3,3,2,3,2,2,5,1,2,2,3,3,4, ,4,4,5,2,2,1, ,2, , , ,2,4,4,3,3,2,2,1,2,3,4,3,2,3,3,2,5,5,3,5, ,4,6,1,2,4,6,4,5, ,4,4,5,3,1,4,3,2,4,4,3, ,2,2,6,4,3,6,5,5,4,7,1,3,2,1,7,2,4,8,7,6,3,6,1,4,5,5,2,2,0,0,0, ,0, , ,0,1,1,5,5,5,5,4,5,5,2, ,2,2,2,0,0,0,3,4,4,1,1,1,102, , ,2, ,3,3,2,2,4,4,13,3,4,2,3, , ,3,3,3,3,2,1,1,4,3,5, ,6,2,5,1,2,2,6,0,1,4,1,4,2,2,2,2,4,3,3,4,2,4, ,104,3,1,4,2,1, ,1,200,0,0,0,0,0,0,0,0,0,0,0,0, ,0,7,1,6,1,2,1,0
1,8e44e560-feb4-49ea-b33b-92de40586437-412629d9afffe48443408113,14010852,104,1,123,1011,2,3,1,1/31/2014,1,1,1964,50,2,1,3,3,2,2,4,2,4,4,4,4,4, ,4,3,1,2,2,2,1,2, , , ,2,4,2,4,4,2,3,1,2,2,4,4,2,1, ,1,3,1,1,1,1,1,7, ,4,1,1,1,1,1,1,1, ,1,3,5,7,7,7,1,5,1,3,2,2,4,7,7,5,1,5,1,2,2,3,1,7,1,10,8,10,5,5,7,10,10,7,2,3,2,1,0,0, ,0, ,0, ,1,1,4,5,4,5,5,5,5,2, ,2,2,2,0,0,0,5,4,4,1,1,1,102, , ,1,103,4,3,2,1,4,2,2,1,2,4, ,1,4,2,5,1,3,1,2,2,4,2,1,1,5,1,2,4,3,1,9,0,4, ,1,4,5,5,2,1,2,3,2,5,0,3,3,101,1,1,5,4,1, ,1, ,0,0,1,0,0,0,0,0,0,0,0,0, ,0,5,2,3,1,2,1, 
1,f230cbc9-af6e-4bba-aa77-befd3c3b79f5-122606e0decc11d43445102,14011448,104,3,120,911,2,4,1,2/17/2014,1,2,1992,22,1,1,2,2,2,2,2,2,4,2,3,3,4,4,3,2,7,2,1,1, ,2, , , ,2,4,4,4,4,2,4,1,3,2,4,4,2,2,6,4,7,5,2,6,4,3,7,1,5,4,6,3,4,3,4,4,3,6,3,5,6,4,1,7,3,4,2,2,6,4,6,6,6,3,5,7,2,1,2,2,3,4,4,3, ,8,8,4,1,1,1,7,2,2,0,0,0, ,0, ,0, ,0,3,5,5,5,5,5,5,5,2, ,2,2,2,0,0,0,4,2,4,1,1,1,101, , ,2, ,3,2,2,2,7, ,4, , ,2,3, , ,3,4,4,3,2,1,1,2, ,4, , , ,4,3,5,2,7,0,1,1,5, ,2, ,2,2,3,2,2,6,4,4,3,104,2,1,5,5, , ,1, ,0,0,1,0,0,0,0,0,0,0,0,0, ,0,7,1,6,1,2,2, 
1,c85da985-079a-4c9d-a919-edefe3ed432c-122606e0decc11d43445108,14011192,104,3,120,912,2,4,1,2/17/2014,1,2,1946,68,3,4,3,3,2,2,3,1,2,2,4,3,4,4,4,2, ,2, , , ,2, , , ,2, ,4,4,4, ,2,1,2,2,4,4,2,3,4, ,2,4, ,2, ,3,6,1,3,4,5,4,2,2,3, , , ,2,2,4, , , ,3, ,2,3,6,4, , , ,5,2,5,1,2, ,2, ,2,5,8,10,6, ,7, ,3,3,5, ,2,0,0,0,0, , ,1, ,0,3,5,5,5,5,5,5,5,2, ,2,2,2,0,0,0,3,3,3,1,1,1, , , ,1,108,3,3,2,1, , ,13, , ,3,3, , ,2,3,2,2,2,1,1,3, , , ,4,4,1,3,5,2,3,0,1,2,5, ,2, ,2,2,4,3,6,5,3,8,3,104,2,1,5,5, , , , ,0,0,1,0,0,0,0,0,0,0,0,0, ,0,6,1,6,1,2,2, 
